path,source_dataset,generator_family,label,img_id,width,height,split
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\2441 (4).jpg,cifake,real,0,cifake_2441 (4),32,32,test
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\4277 (3).jpg,cifake,real,0,cifake_4277 (3),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\0658 (5).jpg,cifake,real,0,cifake_0658 (5),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\test\REAL\0131.jpg,cifake,real,0,cifake_0131,32,32,test
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\0664 (2).jpg,cifake,real,0,cifake_0664 (2),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\3475 (8).jpg,cifake,real,0,cifake_3475 (8),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\0407 (7).jpg,cifake,real,0,cifake_0407 (7),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\test\REAL\0082 (3).jpg,cifake,real,0,cifake_0082 (3),32,32,val
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\4206 (10).jpg,cifake,real,0,cifake_4206 (10),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\0721 (2).jpg,cifake,real,0,cifake_0721 (2),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\3713 (7).jpg,cifake,real,0,cifake_3713 (7),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\test\REAL\0140 (7).jpg,cifake,real,0,cifake_0140 (7),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\4259 (7).jpg,cifake,real,0,cifake_4259 (7),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\4442 (2).jpg,cifake,real,0,cifake_4442 (2),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\4319 (2).jpg,cifake,real,0,cifake_4319 (2),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\2561 (6).jpg,cifake,real,0,cifake_2561 (6),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\3635 (8).jpg,cifake,real,0,cifake_3635 (8),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\2361.jpg,cifake,real,0,cifake_2361,32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\2903 (3).jpg,cifake,real,0,cifake_2903 (3),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\2819 (2).jpg,cifake,real,0,cifake_2819 (2),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\1480 (8).jpg,cifake,real,0,cifake_1480 (8),32,32,train
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\4882 (7).jpg,cifake,real,0,cifake_4882 (7),32,32,val
D:\Coding\playground\TechJam-2026-Team-STH\data\raw\archive\train\REAL\1429 (9).jpg,cifake,real,0,cifake_1429 (9),32,32,train
