img_id,variant,source_dataset,generator_family,label,prob,path
cifake_1028 (10),clean,cifake,stable_diffusion,1,0.07175245136022568,data\cache\clean\test\cifake_1028 (10)\clean.jpg
cifake_1088 (3),clean,cifake,stable_diffusion,1,0.2132129967212677,data\cache\clean\test\cifake_1088 (3)\clean.jpg
cifake_1867 (9),clean,cifake,stable_diffusion,1,0.18475189805030823,data\cache\clean\test\cifake_1867 (9)\clean.jpg
cifake_2293 (9),clean,cifake,stable_diffusion,1,0.06085676699876785,data\cache\clean\test\cifake_2293 (9)\clean.jpg
cifake_4221 (2),clean,cifake,stable_diffusion,1,0.016845237463712692,data\cache\clean\test\cifake_4221 (2)\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.26358306407928467,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_5110 (9),clean,cifake,stable_diffusion,1,0.3867235779762268,data\cache\clean\test\cifake_5110 (9)\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.1855165660381317,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5943 (10),clean,cifake,stable_diffusion,1,0.18963217735290527,data\cache\clean\test\cifake_5943 (10)\clean.jpg
cifake_771 (8),clean,cifake,stable_diffusion,1,0.2801172435283661,data\cache\clean\test\cifake_771 (8)\clean.jpg
dalle_10420,clean,dalle,dalle,1,0.0013030519476160407,data\cache\clean\test\dalle_10420\clean.jpg
dalle_12052,clean,dalle,dalle,1,0.32868924736976624,data\cache\clean\test\dalle_12052\clean.jpg
dalle_13108,clean,dalle,dalle,1,0.07873433828353882,data\cache\clean\test\dalle_13108\clean.jpg
dalle_1895b86b74caac5dad51022c3d3b33df,clean,dalle,dalle,1,0.003718739375472069,data\cache\clean\test\dalle_1895b86b74caac5dad51022c3d3b33df\clean.jpg
dalle_19590,clean,dalle,dalle,1,0.03829089552164078,data\cache\clean\test\dalle_19590\clean.jpg
dalle_19962,clean,dalle,dalle,1,0.07257026433944702,data\cache\clean\test\dalle_19962\clean.jpg
dalle_20080,clean,dalle,dalle,1,0.40397557616233826,data\cache\clean\test\dalle_20080\clean.jpg
dalle_23768,clean,dalle,dalle,1,0.40722280740737915,data\cache\clean\test\dalle_23768\clean.jpg
dalle_24299,clean,dalle,dalle,1,0.31432849168777466,data\cache\clean\test\dalle_24299\clean.jpg
dalle_26611,clean,dalle,dalle,1,0.15495121479034424,data\cache\clean\test\dalle_26611\clean.jpg
dalle_27029,clean,dalle,dalle,1,0.18857409060001373,data\cache\clean\test\dalle_27029\clean.jpg
dalle_3469,clean,dalle,dalle,1,0.28444114327430725,data\cache\clean\test\dalle_3469\clean.jpg
dalle_35493,clean,dalle,dalle,1,0.08384660631418228,data\cache\clean\test\dalle_35493\clean.jpg
