img_id,variant,source_dataset,generator_family,label,prob,path
cifake_1028 (10),clean,cifake,stable_diffusion,1,0.13006049394607544,data\cache\clean\test\cifake_1028 (10)\clean.jpg
cifake_1088 (3),clean,cifake,stable_diffusion,1,0.3721769452095032,data\cache\clean\test\cifake_1088 (3)\clean.jpg
cifake_2293 (9),clean,cifake,stable_diffusion,1,0.24390831589698792,data\cache\clean\test\cifake_2293 (9)\clean.jpg
cifake_4127 (3),clean,cifake,stable_diffusion,1,0.3745933771133423,data\cache\clean\test\cifake_4127 (3)\clean.jpg
cifake_4221 (2),clean,cifake,stable_diffusion,1,0.04694168269634247,data\cache\clean\test\cifake_4221 (2)\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.10387521237134933,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.1751161366701126,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5943 (10),clean,cifake,stable_diffusion,1,0.05738913267850876,data\cache\clean\test\cifake_5943 (10)\clean.jpg
cifake_771 (8),clean,cifake,stable_diffusion,1,0.1649961620569229,data\cache\clean\test\cifake_771 (8)\clean.jpg
dalle_12052,clean,dalle,dalle,1,0.00041099247755482793,data\cache\clean\test\dalle_12052\clean.jpg
dalle_13108,clean,dalle,dalle,1,0.18931865692138672,data\cache\clean\test\dalle_13108\clean.jpg
dalle_17768,clean,dalle,dalle,1,0.26638439297676086,data\cache\clean\test\dalle_17768\clean.jpg
dalle_1895b86b74caac5dad51022c3d3b33df,clean,dalle,dalle,1,0.059264712035655975,data\cache\clean\test\dalle_1895b86b74caac5dad51022c3d3b33df\clean.jpg
dalle_19590,clean,dalle,dalle,1,0.0505412220954895,data\cache\clean\test\dalle_19590\clean.jpg
dalle_20855,clean,dalle,dalle,1,0.26313573122024536,data\cache\clean\test\dalle_20855\clean.jpg
dalle_3469,clean,dalle,dalle,1,0.146974578499794,data\cache\clean\test\dalle_3469\clean.jpg
dalle_40387,clean,dalle,dalle,1,0.08787351101636887,data\cache\clean\test\dalle_40387\clean.jpg
dalle_41791,clean,dalle,dalle,1,0.00036393426125869155,data\cache\clean\test\dalle_41791\clean.jpg
dalle_42344,clean,dalle,dalle,1,0.26976582407951355,data\cache\clean\test\dalle_42344\clean.jpg
dalle_6f0f61883f111368d770c54801f33449,clean,dalle,dalle,1,0.000597120204474777,data\cache\clean\test\dalle_6f0f61883f111368d770c54801f33449\clean.jpg
dalle_8017,clean,dalle,dalle,1,1.808450724638533e-05,data\cache\clean\test\dalle_8017\clean.jpg
dalle_9068,clean,dalle,dalle,1,0.10973398387432098,data\cache\clean\test\dalle_9068\clean.jpg
dalle_9639,clean,dalle,dalle,1,0.09290764480829239,data\cache\clean\test\dalle_9639\clean.jpg
gigagan_02115,clean,gigagan,gigagan,1,0.24753770232200623,data\cache\clean\test\gigagan_02115\clean.jpg
gigagan_03860,clean,gigagan,gigagan,1,0.21617703139781952,data\cache\clean\test\gigagan_03860\clean.jpg
gigagan_05738,clean,gigagan,gigagan,1,0.10346835851669312,data\cache\clean\test\gigagan_05738\clean.jpg
gigagan_06526,clean,gigagan,gigagan,1,0.3485155403614044,data\cache\clean\test\gigagan_06526\clean.jpg
gigagan_06628,clean,gigagan,gigagan,1,0.48266100883483887,data\cache\clean\test\gigagan_06628\clean.jpg
gigagan_07909,clean,gigagan,gigagan,1,0.04804222285747528,data\cache\clean\test\gigagan_07909\clean.jpg
gigagan_08351,clean,gigagan,gigagan,1,0.04609788581728935,data\cache\clean\test\gigagan_08351\clean.jpg
gigagan_08561,clean,gigagan,gigagan,1,0.14056342840194702,data\cache\clean\test\gigagan_08561\clean.jpg
gigagan_09026,clean,gigagan,gigagan,1,0.0675940066576004,data\cache\clean\test\gigagan_09026\clean.jpg
gigagan_09302,clean,gigagan,gigagan,1,0.027396613731980324,data\cache\clean\test\gigagan_09302\clean.jpg
gigagan_09458,clean,gigagan,gigagan,1,0.09008656442165375,data\cache\clean\test\gigagan_09458\clean.jpg
gigagan_10769,clean,gigagan,gigagan,1,0.0071943290531635284,data\cache\clean\test\gigagan_10769\clean.jpg
gigagan_10914,clean,gigagan,gigagan,1,0.0003818211844190955,data\cache\clean\test\gigagan_10914\clean.jpg
gigagan_12929,clean,gigagan,gigagan,1,0.025941750034689903,data\cache\clean\test\gigagan_12929\clean.jpg
gigagan_13110,clean,gigagan,gigagan,1,0.34851527214050293,data\cache\clean\test\gigagan_13110\clean.jpg
gigagan_14071,clean,gigagan,gigagan,1,0.0001890456915134564,data\cache\clean\test\gigagan_14071\clean.jpg
gigagan_14138,clean,gigagan,gigagan,1,0.4328015446662903,data\cache\clean\test\gigagan_14138\clean.jpg
gigagan_14909,clean,gigagan,gigagan,1,0.0785079076886177,data\cache\clean\test\gigagan_14909\clean.jpg
gigagan_15561,clean,gigagan,gigagan,1,0.16782480478286743,data\cache\clean\test\gigagan_15561\clean.jpg
gigagan_16357,clean,gigagan,gigagan,1,0.18906113505363464,data\cache\clean\test\gigagan_16357\clean.jpg
gigagan_16859,clean,gigagan,gigagan,1,0.3617532253265381,data\cache\clean\test\gigagan_16859\clean.jpg
gigagan_16966,clean,gigagan,gigagan,1,0.12654486298561096,data\cache\clean\test\gigagan_16966\clean.jpg
gigagan_17666,clean,gigagan,gigagan,1,0.38640207052230835,data\cache\clean\test\gigagan_17666\clean.jpg
