img_id,variant,source_dataset,generator_family,label,prob,path
cifake_1028 (10),clean,cifake,stable_diffusion,1,0.33270785212516785,data\cache\clean\test\cifake_1028 (10)\clean.jpg
cifake_1088 (3),clean,cifake,stable_diffusion,1,0.12291266024112701,data\cache\clean\test\cifake_1088 (3)\clean.jpg
cifake_1297 (6),clean,cifake,stable_diffusion,1,0.4672708511352539,data\cache\clean\test\cifake_1297 (6)\clean.jpg
cifake_1867 (9),clean,cifake,stable_diffusion,1,0.1955755352973938,data\cache\clean\test\cifake_1867 (9)\clean.jpg
cifake_2293 (9),clean,cifake,stable_diffusion,1,0.06794039160013199,data\cache\clean\test\cifake_2293 (9)\clean.jpg
cifake_2790 (9),clean,cifake,stable_diffusion,1,0.07319114357233047,data\cache\clean\test\cifake_2790 (9)\clean.jpg
cifake_3339 (9),clean,cifake,stable_diffusion,1,0.25080493092536926,data\cache\clean\test\cifake_3339 (9)\clean.jpg
cifake_3395 (5),clean,cifake,stable_diffusion,1,0.40862396359443665,data\cache\clean\test\cifake_3395 (5)\clean.jpg
cifake_4127 (3),clean,cifake,stable_diffusion,1,0.2857411801815033,data\cache\clean\test\cifake_4127 (3)\clean.jpg
cifake_4221 (2),clean,cifake,stable_diffusion,1,0.04700721800327301,data\cache\clean\test\cifake_4221 (2)\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.18561820685863495,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_4670 (4),clean,cifake,stable_diffusion,1,0.3584928512573242,data\cache\clean\test\cifake_4670 (4)\clean.jpg
cifake_5110 (9),clean,cifake,stable_diffusion,1,0.2515312433242798,data\cache\clean\test\cifake_5110 (9)\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.12798435986042023,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5943 (10),clean,cifake,stable_diffusion,1,0.04405402019619942,data\cache\clean\test\cifake_5943 (10)\clean.jpg
cifake_771 (8),clean,cifake,stable_diffusion,1,0.08993300795555115,data\cache\clean\test\cifake_771 (8)\clean.jpg
cifake_841 (4),clean,cifake,stable_diffusion,1,0.27819573879241943,data\cache\clean\test\cifake_841 (4)\clean.jpg
cifake_954 (9),clean,cifake,stable_diffusion,1,0.42173391580581665,data\cache\clean\test\cifake_954 (9)\clean.jpg
dalle_10420,clean,dalle,dalle,1,0.34214872121810913,data\cache\clean\test\dalle_10420\clean.jpg
dalle_12052,clean,dalle,dalle,1,0.1588948518037796,data\cache\clean\test\dalle_12052\clean.jpg
