img_id,variant,source_dataset,generator_family,label,prob,path
cifake_1028 (10),clean,cifake,stable_diffusion,1,0.4941713511943817,data\cache\clean\test\cifake_1028 (10)\clean.jpg
cifake_2286 (2),clean,cifake,stable_diffusion,1,0.14912466704845428,data\cache\clean\test\cifake_2286 (2)\clean.jpg
cifake_2850 (3),clean,cifake,stable_diffusion,1,0.18289998173713684,data\cache\clean\test\cifake_2850 (3)\clean.jpg
cifake_3053 (4),clean,cifake,stable_diffusion,1,0.4909467101097107,data\cache\clean\test\cifake_3053 (4)\clean.jpg
cifake_3582 (9),clean,cifake,stable_diffusion,1,0.0423823781311512,data\cache\clean\test\cifake_3582 (9)\clean.jpg
cifake_4127 (3),clean,cifake,stable_diffusion,1,0.4301324784755707,data\cache\clean\test\cifake_4127 (3)\clean.jpg
cifake_4443,clean,cifake,stable_diffusion,1,0.4252190887928009,data\cache\clean\test\cifake_4443\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.21918568015098572,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.056685127317905426,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5845 (9),clean,cifake,stable_diffusion,1,0.25230103731155396,data\cache\clean\test\cifake_5845 (9)\clean.jpg
cifake_954 (9),clean,cifake,stable_diffusion,1,0.113347128033638,data\cache\clean\test\cifake_954 (9)\clean.jpg
dalle_10420,clean,dalle,dalle,1,0.41542792320251465,data\cache\clean\test\dalle_10420\clean.jpg
dalle_19590,clean,dalle,dalle,1,0.4561852514743805,data\cache\clean\test\dalle_19590\clean.jpg
dalle_20080,clean,dalle,dalle,1,0.020482780411839485,data\cache\clean\test\dalle_20080\clean.jpg
dalle_27029,clean,dalle,dalle,1,0.48687630891799927,data\cache\clean\test\dalle_27029\clean.jpg
dalle_29659,clean,dalle,dalle,1,0.42497384548187256,data\cache\clean\test\dalle_29659\clean.jpg
dalle_3007,clean,dalle,dalle,1,0.39546534419059753,data\cache\clean\test\dalle_3007\clean.jpg
dalle_33159,clean,dalle,dalle,1,0.15733842551708221,data\cache\clean\test\dalle_33159\clean.jpg
dalle_41791,clean,dalle,dalle,1,0.012092892080545425,data\cache\clean\test\dalle_41791\clean.jpg
dalle_5781,clean,dalle,dalle,1,0.42264366149902344,data\cache\clean\test\dalle_5781\clean.jpg
dalle_6481,clean,dalle,dalle,1,0.13115844130516052,data\cache\clean\test\dalle_6481\clean.jpg
dalle_6890,clean,dalle,dalle,1,0.11356691271066666,data\cache\clean\test\dalle_6890\clean.jpg
dalle_6f0f61883f111368d770c54801f33449,clean,dalle,dalle,1,0.0150443809106946,data\cache\clean\test\dalle_6f0f61883f111368d770c54801f33449\clean.jpg
