img_id,variant,source_dataset,generator_family,label,prob,path
cifake_0235,clean,cifake,real,0,0.546204149723053,data\cache\clean\test\cifake_0235\clean.jpg
cifake_0327 (5),clean,cifake,real,0,0.526400625705719,data\cache\clean\test\cifake_0327 (5)\clean.jpg
cifake_0618 (3),clean,cifake,real,0,0.7780107855796814,data\cache\clean\test\cifake_0618 (3)\clean.jpg
cifake_0793,clean,cifake,real,0,0.8347908854484558,data\cache\clean\test\cifake_0793\clean.jpg
cifake_0967 (9),clean,cifake,real,0,0.6516808271408081,data\cache\clean\test\cifake_0967 (9)\clean.jpg
cifake_1139,clean,cifake,real,0,0.8300500512123108,data\cache\clean\test\cifake_1139\clean.jpg
cifake_1435 (2),clean,cifake,real,0,0.6479113698005676,data\cache\clean\test\cifake_1435 (2)\clean.jpg
cifake_1974,clean,cifake,real,0,0.6229569911956787,data\cache\clean\test\cifake_1974\clean.jpg
cifake_2071,clean,cifake,real,0,0.6694948077201843,data\cache\clean\test\cifake_2071\clean.jpg
cifake_2122,clean,cifake,real,0,0.8725879192352295,data\cache\clean\test\cifake_2122\clean.jpg
cifake_2633 (10),clean,cifake,real,0,0.9409809708595276,data\cache\clean\test\cifake_2633 (10)\clean.jpg
cifake_2660,clean,cifake,real,0,0.8564220666885376,data\cache\clean\test\cifake_2660\clean.jpg
cifake_3280 (8),clean,cifake,real,0,0.7849379777908325,data\cache\clean\test\cifake_3280 (8)\clean.jpg
cifake_3819 (2),clean,cifake,real,0,0.566585898399353,data\cache\clean\test\cifake_3819 (2)\clean.jpg
cifake_3891 (3),clean,cifake,real,0,0.5522787570953369,data\cache\clean\test\cifake_3891 (3)\clean.jpg
cifake_3916 (8),clean,cifake,real,0,0.8929387927055359,data\cache\clean\test\cifake_3916 (8)\clean.jpg
cifake_4660 (5),clean,cifake,real,0,0.9689546823501587,data\cache\clean\test\cifake_4660 (5)\clean.jpg
sidset_036df955965cb2f9,clean,sidset,real,0,0.9391242265701294,data\cache\clean\test\sidset_036df955965cb2f9\clean.jpg
sidset_038789965a8f7606,clean,sidset,real,0,0.9971024394035339,data\cache\clean\test\sidset_038789965a8f7606\clean.jpg
sidset_04f2ca3f7633822b,clean,sidset,real,0,0.5348157286643982,data\cache\clean\test\sidset_04f2ca3f7633822b\clean.jpg
sidset_075db643445af8e3,clean,sidset,real,0,0.8400061726570129,data\cache\clean\test\sidset_075db643445af8e3\clean.jpg
sidset_0e40f2f48ac5ec94,clean,sidset,real,0,0.9728990197181702,data\cache\clean\test\sidset_0e40f2f48ac5ec94\clean.jpg
sidset_0f8102c25fc764ea,clean,sidset,real,0,0.9932289123535156,data\cache\clean\test\sidset_0f8102c25fc764ea\clean.jpg
sidset_1409961a28ec7db5,clean,sidset,real,0,0.5184050798416138,data\cache\clean\test\sidset_1409961a28ec7db5\clean.jpg
sidset_14312756c1c94efa,clean,sidset,real,0,0.9999982118606567,data\cache\clean\test\sidset_14312756c1c94efa\clean.jpg
sidset_1491f4f3d3cbc49e,clean,sidset,real,0,0.7179150581359863,data\cache\clean\test\sidset_1491f4f3d3cbc49e\clean.jpg
sidset_1577f06c8ee59ef0,clean,sidset,real,0,0.820264995098114,data\cache\clean\test\sidset_1577f06c8ee59ef0\clean.jpg
sidset_16c4058cc17896fc,clean,sidset,real,0,0.6507858633995056,data\cache\clean\test\sidset_16c4058cc17896fc\clean.jpg
sidset_19a1dd0dde3ed26c,clean,sidset,real,0,0.7023079991340637,data\cache\clean\test\sidset_19a1dd0dde3ed26c\clean.jpg
sidset_22164251d34be040,clean,sidset,real,0,0.9976315498352051,data\cache\clean\test\sidset_22164251d34be040\clean.jpg
sidset_22b07f2ffcaf319c,clean,sidset,real,0,0.9957654476165771,data\cache\clean\test\sidset_22b07f2ffcaf319c\clean.jpg
sidset_240eaccddb6506ef,clean,sidset,real,0,0.8185107111930847,data\cache\clean\test\sidset_240eaccddb6506ef\clean.jpg
sidset_26c389b400ea1653,clean,sidset,real,0,0.6166211366653442,data\cache\clean\test\sidset_26c389b400ea1653\clean.jpg
sidset_273848178d186e12,clean,sidset,real,0,0.5536349415779114,data\cache\clean\test\sidset_273848178d186e12\clean.jpg
sidset_310e74902f5337fc,clean,sidset,real,0,0.6116395592689514,data\cache\clean\test\sidset_310e74902f5337fc\clean.jpg
sidset_34866edcc2800ae0,clean,sidset,real,0,0.8439821004867554,data\cache\clean\test\sidset_34866edcc2800ae0\clean.jpg
sidset_36ec0b674a14714a,clean,sidset,real,0,0.9833458662033081,data\cache\clean\test\sidset_36ec0b674a14714a\clean.jpg
sidset_39a3f029e2e17dd3,clean,sidset,real,0,0.987109899520874,data\cache\clean\test\sidset_39a3f029e2e17dd3\clean.jpg
sidset_3beca4d6152a4aa5,clean,sidset,real,0,0.6663776636123657,data\cache\clean\test\sidset_3beca4d6152a4aa5\clean.jpg
sidset_3fbc4c1574ef987d,clean,sidset,real,0,0.8874245882034302,data\cache\clean\test\sidset_3fbc4c1574ef987d\clean.jpg
sidset_41fcb89ff22ef83c,clean,sidset,real,0,0.7095686197280884,data\cache\clean\test\sidset_41fcb89ff22ef83c\clean.jpg
sidset_45c5c68f5a74cd90,clean,sidset,real,0,0.9636126160621643,data\cache\clean\test\sidset_45c5c68f5a74cd90\clean.jpg
sidset_4babe6eef86c29f6,clean,sidset,real,0,0.5358690023422241,data\cache\clean\test\sidset_4babe6eef86c29f6\clean.jpg
sidset_4e4b9b1d6e8b2aca,clean,sidset,real,0,0.997797966003418,data\cache\clean\test\sidset_4e4b9b1d6e8b2aca\clean.jpg
sidset_52bf81b2d7f84101,clean,sidset,real,0,0.8896827697753906,data\cache\clean\test\sidset_52bf81b2d7f84101\clean.jpg
sidset_55ed6c0bbd54e07d,clean,sidset,real,0,0.9368956089019775,data\cache\clean\test\sidset_55ed6c0bbd54e07d\clean.jpg
sidset_5a165a26bf8ca4be,clean,sidset,real,0,0.9590569138526917,data\cache\clean\test\sidset_5a165a26bf8ca4be\clean.jpg
sidset_5ae51a789c118b75,clean,sidset,real,0,0.5571158528327942,data\cache\clean\test\sidset_5ae51a789c118b75\clean.jpg
sidset_5b291a7b5ae05cf0,clean,sidset,real,0,0.9625192284584045,data\cache\clean\test\sidset_5b291a7b5ae05cf0\clean.jpg
sidset_5b8f12b78d13bfcd,clean,sidset,real,0,0.977809727191925,data\cache\clean\test\sidset_5b8f12b78d13bfcd\clean.jpg
sidset_5ba522a91162ae70,clean,sidset,real,0,0.9998642206192017,data\cache\clean\test\sidset_5ba522a91162ae70\clean.jpg
sidset_630624a387e04a88,clean,sidset,real,0,0.923979640007019,data\cache\clean\test\sidset_630624a387e04a88\clean.jpg
sidset_68f0479b7dde7700,clean,sidset,real,0,0.9932384490966797,data\cache\clean\test\sidset_68f0479b7dde7700\clean.jpg
sidset_6b7167d906f4ff1f,clean,sidset,real,0,0.9684767723083496,data\cache\clean\test\sidset_6b7167d906f4ff1f\clean.jpg
sidset_6c4941996cd7f5fc,clean,sidset,real,0,0.9944467544555664,data\cache\clean\test\sidset_6c4941996cd7f5fc\clean.jpg
sidset_796b6212cfecb3de,clean,sidset,real,0,0.9374697804450989,data\cache\clean\test\sidset_796b6212cfecb3de\clean.jpg
sidset_7974984b83c15934,clean,sidset,real,0,0.951634407043457,data\cache\clean\test\sidset_7974984b83c15934\clean.jpg
sidset_7b550aceb5ec111f,clean,sidset,real,0,0.7760294079780579,data\cache\clean\test\sidset_7b550aceb5ec111f\clean.jpg
sidset_85928afd9860bcb5,clean,sidset,real,0,0.7837526202201843,data\cache\clean\test\sidset_85928afd9860bcb5\clean.jpg
sidset_8865c586ab64c0f9,clean,sidset,real,0,0.5228890776634216,data\cache\clean\test\sidset_8865c586ab64c0f9\clean.jpg
sidset_8d98f1eeb3935d09,clean,sidset,real,0,0.8931401371955872,data\cache\clean\test\sidset_8d98f1eeb3935d09\clean.jpg
sidset_918190e0dd7fc829,clean,sidset,real,0,0.8219714760780334,data\cache\clean\test\sidset_918190e0dd7fc829\clean.jpg
sidset_9915729405b9e03e,clean,sidset,real,0,0.641481339931488,data\cache\clean\test\sidset_9915729405b9e03e\clean.jpg
sidset_995429a562f1aed2,clean,sidset,real,0,0.8088180422782898,data\cache\clean\test\sidset_995429a562f1aed2\clean.jpg
sidset_a3032d75347e6fa2,clean,sidset,real,0,0.7621390223503113,data\cache\clean\test\sidset_a3032d75347e6fa2\clean.jpg
sidset_a4268c0135ca2c65,clean,sidset,real,0,0.6755799055099487,data\cache\clean\test\sidset_a4268c0135ca2c65\clean.jpg
sidset_a429805728e89e7d,clean,sidset,real,0,0.768412172794342,data\cache\clean\test\sidset_a429805728e89e7d\clean.jpg
sidset_ab1441008986f237,clean,sidset,real,0,0.9137952327728271,data\cache\clean\test\sidset_ab1441008986f237\clean.jpg
sidset_ac54ef2834f8bc74,clean,sidset,real,0,0.5830535888671875,data\cache\clean\test\sidset_ac54ef2834f8bc74\clean.jpg
sidset_ae2a3178c574c716,clean,sidset,real,0,0.991206705570221,data\cache\clean\test\sidset_ae2a3178c574c716\clean.jpg
sidset_b3d460c2a4f17eff,clean,sidset,real,0,0.9385440349578857,data\cache\clean\test\sidset_b3d460c2a4f17eff\clean.jpg
sidset_bc70b06f0d603efd,clean,sidset,real,0,0.999993085861206,data\cache\clean\test\sidset_bc70b06f0d603efd\clean.jpg
sidset_bf2d95dd1b29bfda,clean,sidset,real,0,0.9057382345199585,data\cache\clean\test\sidset_bf2d95dd1b29bfda\clean.jpg
sidset_bf7100f88bf3b0f3,clean,sidset,real,0,0.9831036329269409,data\cache\clean\test\sidset_bf7100f88bf3b0f3\clean.jpg
sidset_c104d5a827c3dc84,clean,sidset,real,0,0.7137568593025208,data\cache\clean\test\sidset_c104d5a827c3dc84\clean.jpg
sidset_c5a378b0ea24d25e,clean,sidset,real,0,0.9201783537864685,data\cache\clean\test\sidset_c5a378b0ea24d25e\clean.jpg
