img_id,variant,source_dataset,generator_family,label,prob,path
cifake_1088 (3),clean,cifake,stable_diffusion,1,0.26992788910865784,data\cache\clean\test\cifake_1088 (3)\clean.jpg
cifake_2703 (7),clean,cifake,stable_diffusion,1,0.3730649948120117,data\cache\clean\test\cifake_2703 (7)\clean.jpg
cifake_2790 (9),clean,cifake,stable_diffusion,1,0.25806012749671936,data\cache\clean\test\cifake_2790 (9)\clean.jpg
cifake_2831,clean,cifake,stable_diffusion,1,0.47569823265075684,data\cache\clean\test\cifake_2831\clean.jpg
cifake_2850 (3),clean,cifake,stable_diffusion,1,0.2941434383392334,data\cache\clean\test\cifake_2850 (3)\clean.jpg
cifake_3160,clean,cifake,stable_diffusion,1,0.421273797750473,data\cache\clean\test\cifake_3160\clean.jpg
cifake_3582 (9),clean,cifake,stable_diffusion,1,0.11572450399398804,data\cache\clean\test\cifake_3582 (9)\clean.jpg
cifake_3608,clean,cifake,stable_diffusion,1,0.29596182703971863,data\cache\clean\test\cifake_3608\clean.jpg
cifake_4127 (3),clean,cifake,stable_diffusion,1,0.2527613937854767,data\cache\clean\test\cifake_4127 (3)\clean.jpg
cifake_4443,clean,cifake,stable_diffusion,1,0.12892845273017883,data\cache\clean\test\cifake_4443\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.2034452259540558,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_5221 (3),clean,cifake,stable_diffusion,1,0.272061288356781,data\cache\clean\test\cifake_5221 (3)\clean.jpg
cifake_5511 (9),clean,cifake,stable_diffusion,1,0.2100636065006256,data\cache\clean\test\cifake_5511 (9)\clean.jpg
cifake_5607,clean,cifake,stable_diffusion,1,0.11546840518712997,data\cache\clean\test\cifake_5607\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.062216147780418396,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5845 (9),clean,cifake,stable_diffusion,1,0.18454629182815552,data\cache\clean\test\cifake_5845 (9)\clean.jpg
cifake_954 (9),clean,cifake,stable_diffusion,1,0.04794984683394432,data\cache\clean\test\cifake_954 (9)\clean.jpg
dalle_17768,clean,dalle,dalle,1,0.23993559181690216,data\cache\clean\test\dalle_17768\clean.jpg
dalle_19157,clean,dalle,dalle,1,0.49317148327827454,data\cache\clean\test\dalle_19157\clean.jpg
dalle_24299,clean,dalle,dalle,1,0.06521930545568466,data\cache\clean\test\dalle_24299\clean.jpg
dalle_27029,clean,dalle,dalle,1,0.13796596229076385,data\cache\clean\test\dalle_27029\clean.jpg
dalle_28,clean,dalle,dalle,1,0.2390560358762741,data\cache\clean\test\dalle_28\clean.jpg
dalle_28652,clean,dalle,dalle,1,0.22097647190093994,data\cache\clean\test\dalle_28652\clean.jpg
dalle_33159,clean,dalle,dalle,1,0.23325760662555695,data\cache\clean\test\dalle_33159\clean.jpg
dalle_40387,clean,dalle,dalle,1,0.05290181562304497,data\cache\clean\test\dalle_40387\clean.jpg
dalle_5781,clean,dalle,dalle,1,0.10946078598499298,data\cache\clean\test\dalle_5781\clean.jpg
dalle_6f0f61883f111368d770c54801f33449,clean,dalle,dalle,1,0.02027149312198162,data\cache\clean\test\dalle_6f0f61883f111368d770c54801f33449\clean.jpg
dalle_8017,clean,dalle,dalle,1,0.36352381110191345,data\cache\clean\test\dalle_8017\clean.jpg
dalle_8688,clean,dalle,dalle,1,0.48086029291152954,data\cache\clean\test\dalle_8688\clean.jpg
gigagan_01605,clean,gigagan,gigagan,1,0.061081089079380035,data\cache\clean\test\gigagan_01605\clean.jpg
gigagan_05738,clean,gigagan,gigagan,1,0.49404630064964294,data\cache\clean\test\gigagan_05738\clean.jpg
gigagan_10914,clean,gigagan,gigagan,1,0.13560503721237183,data\cache\clean\test\gigagan_10914\clean.jpg
gigagan_12654,clean,gigagan,gigagan,1,0.4211062490940094,data\cache\clean\test\gigagan_12654\clean.jpg
gigagan_14071,clean,gigagan,gigagan,1,0.011801498010754585,data\cache\clean\test\gigagan_14071\clean.jpg
gigagan_14138,clean,gigagan,gigagan,1,0.29835569858551025,data\cache\clean\test\gigagan_14138\clean.jpg
gigagan_15454,clean,gigagan,gigagan,1,0.08639518171548843,data\cache\clean\test\gigagan_15454\clean.jpg
gigagan_20207,clean,gigagan,gigagan,1,0.23543384671211243,data\cache\clean\test\gigagan_20207\clean.jpg
gigagan_20327,clean,gigagan,gigagan,1,0.09563256055116653,data\cache\clean\test\gigagan_20327\clean.jpg
gigagan_21611,clean,gigagan,gigagan,1,0.06903380155563354,data\cache\clean\test\gigagan_21611\clean.jpg
gigagan_24679,clean,gigagan,gigagan,1,0.04318159818649292,data\cache\clean\test\gigagan_24679\clean.jpg
gigagan_25090,clean,gigagan,gigagan,1,0.04960203543305397,data\cache\clean\test\gigagan_25090\clean.jpg
imagen3_045e6da6fd7f6fb0,clean,imagen3,imagen3,1,0.01046167965978384,data\cache\clean\test\imagen3_045e6da6fd7f6fb0\clean.jpg
imagen3_04e3097ac2f57647,clean,imagen3,imagen3,1,0.2202613651752472,data\cache\clean\test\imagen3_04e3097ac2f57647\clean.jpg
