img_id,variant,source_dataset,generator_family,label,prob,path
cifake_0235,clean,cifake,real,0,0.5700152516365051,data\cache\clean\test\cifake_0235\clean.jpg
cifake_0327 (5),clean,cifake,real,0,0.6633279323577881,data\cache\clean\test\cifake_0327 (5)\clean.jpg
cifake_0618 (3),clean,cifake,real,0,0.6691433191299438,data\cache\clean\test\cifake_0618 (3)\clean.jpg
cifake_0793,clean,cifake,real,0,0.9149253964424133,data\cache\clean\test\cifake_0793\clean.jpg
cifake_0858 (3),clean,cifake,real,0,0.6861642599105835,data\cache\clean\test\cifake_0858 (3)\clean.jpg
cifake_0967 (9),clean,cifake,real,0,0.6281364560127258,data\cache\clean\test\cifake_0967 (9)\clean.jpg
cifake_1435 (2),clean,cifake,real,0,0.6455127000808716,data\cache\clean\test\cifake_1435 (2)\clean.jpg
cifake_2071,clean,cifake,real,0,0.5891280770301819,data\cache\clean\test\cifake_2071\clean.jpg
cifake_2547,clean,cifake,real,0,0.5025054216384888,data\cache\clean\test\cifake_2547\clean.jpg
cifake_2633 (10),clean,cifake,real,0,0.7065839171409607,data\cache\clean\test\cifake_2633 (10)\clean.jpg
cifake_2660,clean,cifake,real,0,0.5697395205497742,data\cache\clean\test\cifake_2660\clean.jpg
cifake_3042 (4),clean,cifake,real,0,0.6600660681724548,data\cache\clean\test\cifake_3042 (4)\clean.jpg
cifake_3330 (4),clean,cifake,real,0,0.5264497399330139,data\cache\clean\test\cifake_3330 (4)\clean.jpg
cifake_3916 (8),clean,cifake,real,0,0.734775185585022,data\cache\clean\test\cifake_3916 (8)\clean.jpg
cifake_4186 (5),clean,cifake,real,0,0.683982789516449,data\cache\clean\test\cifake_4186 (5)\clean.jpg
cifake_4660 (5),clean,cifake,real,0,0.9774748682975769,data\cache\clean\test\cifake_4660 (5)\clean.jpg
sidset_011c2e4461eb1fdc,clean,sidset,real,0,0.9757771492004395,data\cache\clean\test\sidset_011c2e4461eb1fdc\clean.jpg
sidset_036df955965cb2f9,clean,sidset,real,0,0.8918516039848328,data\cache\clean\test\sidset_036df955965cb2f9\clean.jpg
sidset_038789965a8f7606,clean,sidset,real,0,0.8537119626998901,data\cache\clean\test\sidset_038789965a8f7606\clean.jpg
sidset_075db643445af8e3,clean,sidset,real,0,0.8503652215003967,data\cache\clean\test\sidset_075db643445af8e3\clean.jpg
sidset_0f8102c25fc764ea,clean,sidset,real,0,0.8193727731704712,data\cache\clean\test\sidset_0f8102c25fc764ea\clean.jpg
sidset_14312756c1c94efa,clean,sidset,real,0,0.9957233667373657,data\cache\clean\test\sidset_14312756c1c94efa\clean.jpg
sidset_1577f06c8ee59ef0,clean,sidset,real,0,0.8290699124336243,data\cache\clean\test\sidset_1577f06c8ee59ef0\clean.jpg
sidset_18e31327000165d6,clean,sidset,real,0,0.6505780816078186,data\cache\clean\test\sidset_18e31327000165d6\clean.jpg
sidset_19a1dd0dde3ed26c,clean,sidset,real,0,0.5249849557876587,data\cache\clean\test\sidset_19a1dd0dde3ed26c\clean.jpg
sidset_1bbde3dbf9a7d429,clean,sidset,real,0,0.5063471794128418,data\cache\clean\test\sidset_1bbde3dbf9a7d429\clean.jpg
sidset_1d24e17c0f598d7a,clean,sidset,real,0,0.5808350443840027,data\cache\clean\test\sidset_1d24e17c0f598d7a\clean.jpg
sidset_2387febf3723ff05,clean,sidset,real,0,0.7044137716293335,data\cache\clean\test\sidset_2387febf3723ff05\clean.jpg
sidset_26c389b400ea1653,clean,sidset,real,0,0.9641620516777039,data\cache\clean\test\sidset_26c389b400ea1653\clean.jpg
sidset_2c7cd831752d6b09,clean,sidset,real,0,0.7172209620475769,data\cache\clean\test\sidset_2c7cd831752d6b09\clean.jpg
sidset_31f7ec5269c0f867,clean,sidset,real,0,0.9067881107330322,data\cache\clean\test\sidset_31f7ec5269c0f867\clean.jpg
sidset_34866edcc2800ae0,clean,sidset,real,0,0.9384158253669739,data\cache\clean\test\sidset_34866edcc2800ae0\clean.jpg
sidset_351df796b93ed2b5,clean,sidset,real,0,0.8462448120117188,data\cache\clean\test\sidset_351df796b93ed2b5\clean.jpg
sidset_36ec0b674a14714a,clean,sidset,real,0,0.8419417142868042,data\cache\clean\test\sidset_36ec0b674a14714a\clean.jpg
sidset_39a3f029e2e17dd3,clean,sidset,real,0,0.8346354365348816,data\cache\clean\test\sidset_39a3f029e2e17dd3\clean.jpg
sidset_3beca4d6152a4aa5,clean,sidset,real,0,0.5158913731575012,data\cache\clean\test\sidset_3beca4d6152a4aa5\clean.jpg
sidset_44062c28bab0688d,clean,sidset,real,0,0.7280431389808655,data\cache\clean\test\sidset_44062c28bab0688d\clean.jpg
sidset_46a383463322d7a9,clean,sidset,real,0,0.801660418510437,data\cache\clean\test\sidset_46a383463322d7a9\clean.jpg
sidset_524db7cc1caac0b0,clean,sidset,real,0,0.8406652212142944,data\cache\clean\test\sidset_524db7cc1caac0b0\clean.jpg
sidset_52bf81b2d7f84101,clean,sidset,real,0,0.6034340858459473,data\cache\clean\test\sidset_52bf81b2d7f84101\clean.jpg
sidset_55ed6c0bbd54e07d,clean,sidset,real,0,0.8620188236236572,data\cache\clean\test\sidset_55ed6c0bbd54e07d\clean.jpg
sidset_5a165a26bf8ca4be,clean,sidset,real,0,0.8974207043647766,data\cache\clean\test\sidset_5a165a26bf8ca4be\clean.jpg
sidset_5b291a7b5ae05cf0,clean,sidset,real,0,0.790003776550293,data\cache\clean\test\sidset_5b291a7b5ae05cf0\clean.jpg
sidset_5b8f12b78d13bfcd,clean,sidset,real,0,0.9571400284767151,data\cache\clean\test\sidset_5b8f12b78d13bfcd\clean.jpg
sidset_5ba522a91162ae70,clean,sidset,real,0,0.9920126795768738,data\cache\clean\test\sidset_5ba522a91162ae70\clean.jpg
sidset_68f0479b7dde7700,clean,sidset,real,0,0.7050461173057556,data\cache\clean\test\sidset_68f0479b7dde7700\clean.jpg
sidset_6b7167d906f4ff1f,clean,sidset,real,0,0.8523797392845154,data\cache\clean\test\sidset_6b7167d906f4ff1f\clean.jpg
sidset_7003ebb1b49ecb7d,clean,sidset,real,0,0.8445053696632385,data\cache\clean\test\sidset_7003ebb1b49ecb7d\clean.jpg
sidset_7974984b83c15934,clean,sidset,real,0,0.5720823407173157,data\cache\clean\test\sidset_7974984b83c15934\clean.jpg
sidset_7f1ce0ac000e1d6c,clean,sidset,real,0,0.9228245615959167,data\cache\clean\test\sidset_7f1ce0ac000e1d6c\clean.jpg
sidset_8619862cda88466c,clean,sidset,real,0,0.6537616848945618,data\cache\clean\test\sidset_8619862cda88466c\clean.jpg
sidset_9548acaeca2f5124,clean,sidset,real,0,0.7645924091339111,data\cache\clean\test\sidset_9548acaeca2f5124\clean.jpg
sidset_995429a562f1aed2,clean,sidset,real,0,0.9313631057739258,data\cache\clean\test\sidset_995429a562f1aed2\clean.jpg
