img_id,variant,source_dataset,generator_family,label,prob,path
cifake_2286 (2),clean,cifake,stable_diffusion,1,0.2464277595281601,data\cache\clean\test\cifake_2286 (2)\clean.jpg
cifake_2790 (9),clean,cifake,stable_diffusion,1,0.48907703161239624,data\cache\clean\test\cifake_2790 (9)\clean.jpg
cifake_3053 (4),clean,cifake,stable_diffusion,1,0.49990740418434143,data\cache\clean\test\cifake_3053 (4)\clean.jpg
cifake_3582 (9),clean,cifake,stable_diffusion,1,0.2920248508453369,data\cache\clean\test\cifake_3582 (9)\clean.jpg
cifake_4221 (2),clean,cifake,stable_diffusion,1,0.44035130739212036,data\cache\clean\test\cifake_4221 (2)\clean.jpg
cifake_4443,clean,cifake,stable_diffusion,1,0.17316101491451263,data\cache\clean\test\cifake_4443\clean.jpg
cifake_4615 (3),clean,cifake,stable_diffusion,1,0.20849888026714325,data\cache\clean\test\cifake_4615 (3)\clean.jpg
cifake_5221 (3),clean,cifake,stable_diffusion,1,0.2608146369457245,data\cache\clean\test\cifake_5221 (3)\clean.jpg
cifake_5607,clean,cifake,stable_diffusion,1,0.47751808166503906,data\cache\clean\test\cifake_5607\clean.jpg
cifake_5607 (3),clean,cifake,stable_diffusion,1,0.058405257761478424,data\cache\clean\test\cifake_5607 (3)\clean.jpg
cifake_5845 (9),clean,cifake,stable_diffusion,1,0.3292272090911865,data\cache\clean\test\cifake_5845 (9)\clean.jpg
cifake_75,clean,cifake,stable_diffusion,1,0.44427651166915894,data\cache\clean\test\cifake_75\clean.jpg
cifake_954 (9),clean,cifake,stable_diffusion,1,0.08378936350345612,data\cache\clean\test\cifake_954 (9)\clean.jpg
dalle_10420,clean,dalle,dalle,1,0.42878976464271545,data\cache\clean\test\dalle_10420\clean.jpg
dalle_17768,clean,dalle,dalle,1,0.4888274669647217,data\cache\clean\test\dalle_17768\clean.jpg
dalle_19157,clean,dalle,dalle,1,0.40437132120132446,data\cache\clean\test\dalle_19157\clean.jpg
dalle_20080,clean,dalle,dalle,1,0.19657941162586212,data\cache\clean\test\dalle_20080\clean.jpg
dalle_2561,clean,dalle,dalle,1,0.4531157612800598,data\cache\clean\test\dalle_2561\clean.jpg
dalle_27029,clean,dalle,dalle,1,0.4381229281425476,data\cache\clean\test\dalle_27029\clean.jpg
dalle_40387,clean,dalle,dalle,1,0.4191100299358368,data\cache\clean\test\dalle_40387\clean.jpg
dalle_41791,clean,dalle,dalle,1,0.08368908613920212,data\cache\clean\test\dalle_41791\clean.jpg
dalle_6f0f61883f111368d770c54801f33449,clean,dalle,dalle,1,0.09413593262434006,data\cache\clean\test\dalle_6f0f61883f111368d770c54801f33449\clean.jpg
gigagan_05738,clean,gigagan,gigagan,1,0.36606207489967346,data\cache\clean\test\gigagan_05738\clean.jpg
gigagan_10914,clean,gigagan,gigagan,1,0.14790761470794678,data\cache\clean\test\gigagan_10914\clean.jpg
gigagan_14071,clean,gigagan,gigagan,1,0.15201963484287262,data\cache\clean\test\gigagan_14071\clean.jpg
gigagan_14858,clean,gigagan,gigagan,1,0.2262980192899704,data\cache\clean\test\gigagan_14858\clean.jpg
gigagan_15454,clean,gigagan,gigagan,1,0.26688653230667114,data\cache\clean\test\gigagan_15454\clean.jpg
gigagan_15561,clean,gigagan,gigagan,1,0.06995802372694016,data\cache\clean\test\gigagan_15561\clean.jpg
gigagan_20207,clean,gigagan,gigagan,1,0.0998336672782898,data\cache\clean\test\gigagan_20207\clean.jpg
gigagan_20327,clean,gigagan,gigagan,1,0.4948168396949768,data\cache\clean\test\gigagan_20327\clean.jpg
gigagan_22418,clean,gigagan,gigagan,1,0.1712120920419693,data\cache\clean\test\gigagan_22418\clean.jpg
gigagan_24679,clean,gigagan,gigagan,1,0.08601178228855133,data\cache\clean\test\gigagan_24679\clean.jpg
gigagan_25090,clean,gigagan,gigagan,1,0.32080206274986267,data\cache\clean\test\gigagan_25090\clean.jpg
gigagan_28945,clean,gigagan,gigagan,1,0.30488327145576477,data\cache\clean\test\gigagan_28945\clean.jpg
imagen3_045e6da6fd7f6fb0,clean,imagen3,imagen3,1,0.2875122129917145,data\cache\clean\test\imagen3_045e6da6fd7f6fb0\clean.jpg
imagen3_04e3097ac2f57647,clean,imagen3,imagen3,1,0.3424126207828522,data\cache\clean\test\imagen3_04e3097ac2f57647\clean.jpg
imagen3_07747d6ffd056bee,clean,imagen3,imagen3,1,0.3838573396205902,data\cache\clean\test\imagen3_07747d6ffd056bee\clean.jpg
imagen3_13ed1f9391224848,clean,imagen3,imagen3,1,0.08198757469654083,data\cache\clean\test\imagen3_13ed1f9391224848\clean.jpg
imagen3_15906,clean,imagen3,imagen3,1,0.06775978952646255,data\cache\clean\test\imagen3_15906\clean.jpg
imagen3_17643da56f35c6f7,clean,imagen3,imagen3,1,0.019056661054491997,data\cache\clean\test\imagen3_17643da56f35c6f7\clean.jpg
imagen3_17919c9ffd792ad9,clean,imagen3,imagen3,1,0.3848012089729309,data\cache\clean\test\imagen3_17919c9ffd792ad9\clean.jpg
imagen3_1fe9a0379cffa709,clean,imagen3,imagen3,1,0.12412779778242111,data\cache\clean\test\imagen3_1fe9a0379cffa709\clean.jpg
imagen3_24e64d19ddde11cb,clean,imagen3,imagen3,1,0.0014157480327412486,data\cache\clean\test\imagen3_24e64d19ddde11cb\clean.jpg
imagen3_260ae6b06f1f50e2,clean,imagen3,imagen3,1,0.009874464944005013,data\cache\clean\test\imagen3_260ae6b06f1f50e2\clean.jpg
imagen3_2be4510162a8a76e,clean,imagen3,imagen3,1,0.04989585652947426,data\cache\clean\test\imagen3_2be4510162a8a76e\clean.jpg
imagen3_3403b18fc93acbfc,clean,imagen3,imagen3,1,0.056053854525089264,data\cache\clean\test\imagen3_3403b18fc93acbfc\clean.jpg
imagen3_43058,clean,imagen3,imagen3,1,0.020683005452156067,data\cache\clean\test\imagen3_43058\clean.jpg
imagen3_44015,clean,imagen3,imagen3,1,0.2958756983280182,data\cache\clean\test\imagen3_44015\clean.jpg
imagen3_44075,clean,imagen3,imagen3,1,0.4704638719558716,data\cache\clean\test\imagen3_44075\clean.jpg
imagen3_46922,clean,imagen3,imagen3,1,0.15541625022888184,data\cache\clean\test\imagen3_46922\clean.jpg
imagen3_473ffc5e3d5dc373,clean,imagen3,imagen3,1,0.1805827021598816,data\cache\clean\test\imagen3_473ffc5e3d5dc373\clean.jpg
imagen3_51659,clean,imagen3,imagen3,1,0.258076936006546,data\cache\clean\test\imagen3_51659\clean.jpg
imagen3_519f5c348fe55fcd,clean,imagen3,imagen3,1,0.08095373213291168,data\cache\clean\test\imagen3_519f5c348fe55fcd\clean.jpg
imagen3_52520,clean,imagen3,imagen3,1,0.291309118270874,data\cache\clean\test\imagen3_52520\clean.jpg
imagen3_560ead164dab63a5,clean,imagen3,imagen3,1,0.3674919605255127,data\cache\clean\test\imagen3_560ead164dab63a5\clean.jpg
imagen3_5a7405b5ead307fb,clean,imagen3,imagen3,1,0.2539128363132477,data\cache\clean\test\imagen3_5a7405b5ead307fb\clean.jpg
imagen3_5e95809bd47d157b,clean,imagen3,imagen3,1,0.3088999092578888,data\cache\clean\test\imagen3_5e95809bd47d157b\clean.jpg
