avg_loss,backbone,clean_acc,clean_auc,device,kind,mean15_acc,mean15_auc,model,overall_acc,overall_auc,run,signals,signals_normalized,val_acc,val_auc
0.1438,ViT-L/14,,,cuda,train,,,base,,,base_train,none,,0.9327,0.9714
0.14,ViT-L/14,,,cuda,train,,,concat,,,concat_train,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,0.9297,0.9732
0.1385,ViT-L/14,,,cuda,train,,,concat_drift,,,concat_drift_train,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance,clip_drift",True,0.9297,0.9733
0.14,ViT-L/14,,,cuda,train,,,concat_drift_liqe,,,concat_drift_liqe_train,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance,clip_drift,liqe_score",True,0.93,0.9735
0.2618,ViT-L/14,,,cuda,train,,,film,,,film_train,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,0.9393,0.9757
,ViT-L/14,0.932,0.9699,cuda,eval,0.9183,0.9646,base,0.9191,0.965,base_eval,none,,,
,ViT-L/14,0.928,0.9698,cuda,eval,0.9182,0.964,concat,0.9188,0.9644,concat_eval,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,,
,ViT-L/14,0.929,0.9699,cuda,eval,0.9197,0.9651,concat_drift,0.9203,0.9654,concat_drift_eval,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance,clip_drift",True,,
,ViT-L/14,0.9313,0.9697,cuda,eval,0.9179,0.9644,concat_drift_liqe,0.9187,0.9647,concat_drift_liqe_eval,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance,clip_drift,liqe_score",True,,
,ViT-L/14,0.9327,0.9744,cuda,eval,0.9155,0.9674,film,0.9166,0.9676,film_eval,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,,
